office,county,candidate,party,votes,,,,,,,,,,,,,
Lieutenant Governor,Benton,Tim Johnson,Democrat,1178,,,,,,,,,,,,,Neshoba
Lieutenant Governor,Benton,Tate Reeves,Republican,1355,,,,,,,,,,,,,Newton
Lieutenant Governor,Benton,Ron Williams,Libertarian,88,,,,,,,,,,,,,Noxubee
Lieutenant Governor,Benton,Rosa B. Williams,Reform,65,,,,,,,,,,,,,Oktibbeha
Lieutenant Governor,Bolivar,Tim Johnson,Democrat,5012,,,,,,,,,,,,,Panola
Lieutenant Governor,Bolivar,Tate Reeves,Republican,3677,,,,,,,,,,,,,Pearl River
Lieutenant Governor,Bolivar,Ron Williams,Libertarian,197,,,,,,,,,,,,,Perry
Lieutenant Governor,Bolivar,Rosa B. Williams,Reform,298,,,,,,,,,,,,,Pike
Lieutenant Governor,Calhoun,Tim Johnson,Democrat,1402,,,,,,,,,,,,,Pontotoc
Lieutenant Governor,Calhoun,Tate Reeves,Republican,3489,,,,,,,,,,,,,Prentiss
Lieutenant Governor,Calhoun,Ron Williams,Libertarian,95,,,,,,,,,,,,,Quitman
Lieutenant Governor,Calhoun,Rosa B. Williams,Reform,65,,,,,,,,,,,,,Rankin
Lieutenant Governor,Carroll,Tim Johnson,Democrat,1253,,,,,,,,,,,,,Scott
Lieutenant Governor,Carroll,Tate Reeves,Republican,2657,,,,,,,,,,,,,Sharkey
Lieutenant Governor,Carroll,Ron Williams,Libertarian,65,,,,,,,,,,,,,Simpson
Lieutenant Governor,Carroll,Rosa B. Williams,Reform,34,,,,,,,,,,,,,Smith
Lieutenant Governor,Chickasaw,Tim Johnson,Democrat,2378,,,,,,,,,,,,,Stone
Lieutenant Governor,Chickasaw,Tate Reeves,Republican,3119,,,,,,,,,,,,,Sunflower
Lieutenant Governor,Chickasaw,Ron Williams,Libertarian,97,,,,,,,,,,,,,Tallahatchie
Lieutenant Governor,Chickasaw,Rosa B. Williams,Reform,51,,,,,,,,,,,,,Tate
Lieutenant Governor,Choctaw,Tim Johnson,Democrat,813,,,,,,,,,,,,,Tippah
Lieutenant Governor,Choctaw,Tate Reeves,Republican,1879,,,,,,,,,,,,,Tishomingo
Lieutenant Governor,Choctaw,Ron Williams,Libertarian,42,,,,,,,,,,,,,Tunica
Lieutenant Governor,Choctaw,Rosa B. Williams,Reform,34,,,,,,,,,,,,,Union
Lieutenant Governor,Claiborne,Tim Johnson,Democrat,2258,,,,,,,,,,,,,Walthall
Lieutenant Governor,Claiborne,Tate Reeves,Republican,956,,,,,,,,,,,,,Warren
Lieutenant Governor,Claiborne,Ron Williams,Libertarian,79,,,,,,,,,,,,,Washington
Lieutenant Governor,Claiborne,Rosa B. Williams,Reform,143,,,,,,,,,,,,,Wayne
Secretary of State,Adams,Charles E. Graham,Democrat,3613,,,,,,,,,,,,,Webster
Secretary of State,Adams,Delbert Hosemann,Republican,3501,,,,,,,,,,,,,Wilkinson
Secretary of State,Adams,Randy Walker,Reform,164,,,,,,,,,,,,,Winston
Secretary of State,Alcorn,Charles E. Graham,Democrat,2600,,,,,,,,,,,,,Yalobusha
Secretary of State,Alcorn,Delbert Hosemann,Republican,7114,,,,,,,,,,,,,Yazoo
Secretary of State,Alcorn,Randy Walker,Reform,477,,,,,,,,,,,,,
Secretary of State,Amite,Charles E. Graham,Democrat,2033,,,,,,,,,,,,,
Secretary of State,Amite,Delbert Hosemann,Republican,2809,,,,,,,,,,,,,
Secretary of State,Amite,Randy Walker,Reform,195,,,,,,,,,,,,,
Secretary of State,Attala,Charles E. Graham,Democrat,1720,,,,,,,,,,,,,
Secretary of State,Attala,Delbert Hosemann,Republican,3191,,,,,,,,,,,,,
Secretary of State,Attala,Randy Walker,Reform,138,,,,,,,,,,,,,
Secretary of State,Benton,Charles E. Graham,Democrat,1169,,,,,,,,,,,,,
Secretary of State,Benton,Delbert Hosemann,Republican,1160,,,,,,,,,,,,,
Secretary of State,Benton,Randy Walker,Reform,371,,,,,,,,,,,,,
Secretary of State,Bolivar,Charles E. Graham,Democrat,5435,,,,,,,,,,,,,
Secretary of State,Bolivar,Delbert Hosemann,Republican,3280,,,,,,,,,,,,,
Secretary of State,Bolivar,Randy Walker,Reform,287,,,,,,,,,,,,,
Secretary of State,Calhoun,Charles E. Graham,Democrat,1488,,,,,,,,,,,,,
Secretary of State,Calhoun,Delbert Hosemann,Republican,3420,,,,,,,,,,,,,
Secretary of State,Calhoun,Randy Walker,Reform,155,,,,,,,,,,,,,
Secretary of State,Carroll,Charles E. Graham,Democrat,1258,,,,,,,,,,,,,
Secretary of State,Carroll,Delbert Hosemann,Republican,2600,,,,,,,,,,,,,
Secretary of State,Carroll,Randy Walker,Reform,154,,,,,,,,,,,,,
Secretary of State,Chickasaw,Charles E. Graham,Democrat,2379,,,,,,,,,,,,,
Secretary of State,Chickasaw,Delbert Hosemann,Republican,3112,,,,,,,,,,,,,
Secretary of State,Chickasaw,Randy Walker,Reform,150,,,,,,,,,,,,,
Secretary of State,Choctaw,Charles E. Graham,Democrat,715,,,,,,,,,,,,,
Secretary of State,Choctaw,Delbert Hosemann,Republican,1993,,,,,,,,,,,,,
Secretary of State,Choctaw,Randy Walker,Reform,67,,,,,,,,,,,,,
Secretary of State,Claiborne,Charles E. Graham,Democrat,2548,,,,,,,,,,,,,
Secretary of State,Claiborne,Delbert Hosemann,Republican,761,,,,,,,,,,,,,
Secretary of State,Claiborne,Randy Walker,Reform,127,,,,,,,,,,,,,
Attorney General,Adams,Jim Hood,Democrat,5046,,,,,,,,,,,,,
Attorney General,Adams,Mike Hurst,Republican,2336,,,,,,,,,,,,,
Attorney General,Alcorn,Jim Hood,Democrat,5273,,,,,,,,,,,,,
Attorney General,Alcorn,Mike Hurst,Republican,5136,,,,,,,,,,,,,
Attorney General,Amite,Jim Hood,Democrat,2838,,,,,,,,,,,,,
Attorney General,Amite,Mike Hurst,Republican,2193,,,,,,,,,,,,,
Attorney General,Attala,Jim Hood,Democrat,3043,,,,,,,,,,,,,
Attorney General,Attala,Mike Hurst,Republican,2028,,,,,,,,,,,,,
Attorney General,Benton,Jim Hood,Democrat,1721,,,,,,,,,,,,,
Attorney General,Benton,Mike Hurst,Republican,1022,,,,,,,,,,,,,
Attorney General,Bolivar,Jim Hood,Democrat,7177,,,,,,,,,,,,,
Attorney General,Bolivar,Mike Hurst,Republican,2122,,,,,,,,,,,,,
Attorney General,Calhoun,Jim Hood,Democrat,3122,,,,,,,,,,,,,
Attorney General,Calhoun,Mike Hurst,Republican,2015,,,,,,,,,,,,,
Attorney General,Carroll,Jim Hood,Democrat,2226,,,,,,,,,,,,,
Attorney General,Carroll,Mike Hurst,Republican,1824,,,,,,,,,,,,,
Attorney General,Chickasaw,Jim Hood,Democrat,4530,,,,,,,,,,,,,
Attorney General,Chickasaw,Mike Hurst,Republican,1221,,,,,,,,,,,,,
Attorney General,Choctaw,Jim Hood,Democrat,1424,,,,,,,,,,,,,
Attorney General,Choctaw,Mike Hurst,Republican,1366,,,,,,,,,,,,,
Attorney General,Claiborne,Jim Hood,Democrat,3093,,,,,,,,,,,,,
Attorney General,Claiborne,Mike Hurst,Republican,404,,,,,,,,,,,,,
State Auditor,Adams,Stacey E. Pickering,Republican,3566,,,,,,,,,,,,,
State Auditor,Adams,Jocelyn 'Joce' Pepper Pritchett,Democrat,3598,,,,,,,,,,,,,
State Auditor,Adams,Lajena Walley,Reform,64,,,,,,,,,,,,,
State Auditor,Alcorn,Stacey E. Pickering,Republican,8234,,,,,,,,,,,,,
State Auditor,Alcorn,Jocelyn 'Joce' Pepper Pritchett,Democrat,1869,,,,,,,,,,,,,
State Auditor,Alcorn,Lajena Walley,Reform,148,,,,,,,,,,,,,
State Auditor,Amite,Stacey E. Pickering,Republican,3037,,,,,,,,,,,,,
State Auditor,Amite,Jocelyn 'Joce' Pepper Pritchett,Democrat,1915,,,,,,,,,,,,,
State Auditor,Amite,Lajena Walley,Reform,69,,,,,,,,,,,,,
State Auditor,Attala,Stacey E. Pickering,Republican,3310,,,,,,,,,,,,,
State Auditor,Attala,Jocelyn 'Joce' Pepper Pritchett,Democrat,1654,,,,,,,,,,,,,
State Auditor,Attala,Lajena Walley,Reform,43,,,,,,,,,,,,,
State Auditor,Benton,Stacey E. Pickering,Republican,1503,,,,,,,,,,,,,
State Auditor,Benton,Jocelyn 'Joce' Pepper Pritchett,Democrat,1087,,,,,,,,,,,,,
State Auditor,Benton,Lajena Walley,Reform,70,,,,,,,,,,,,,
State Auditor,Bolivar,Stacey E. Pickering,Republican,3639,,,,,,,,,,,,,
State Auditor,Bolivar,Jocelyn 'Joce' Pepper Pritchett,Democrat,5176,,,,,,,,,,,,,
State Auditor,Bolivar,Lajena Walley,Reform,158,,,,,,,,,,,,,
State Auditor,Calhoun,Stacey E. Pickering,Republican,3637,,,,,,,,,,,,,
State Auditor,Calhoun,Jocelyn 'Joce' Pepper Pritchett,Democrat,1355,,,,,,,,,,,,,
State Auditor,Calhoun,Lajena Walley,Reform,62,,,,,,,,,,,,,
State Auditor,Carroll,Stacey E. Pickering,Republican,2778,,,,,,,,,,,,,
State Auditor,Carroll,Jocelyn 'Joce' Pepper Pritchett,Democrat,1172,,,,,,,,,,,,,
State Auditor,Carroll,Lajena Walley,Reform,39,,,,,,,,,,,,,
State Auditor,Chickasaw,Stacey E. Pickering,Republican,3335,,,,,,,,,,,,,
State Auditor,Chickasaw,Jocelyn 'Joce' Pepper Pritchett,Democrat,2239,,,,,,,,,,,,,
State Auditor,Chickasaw,Lajena Walley,Reform,63,,,,,,,,,,,,,
State Auditor,Choctaw,Stacey E. Pickering,Republican,2067,,,,,,,,,,,,,
State Auditor,Choctaw,Jocelyn 'Joce' Pepper Pritchett,Democrat,663,,,,,,,,,,,,,
State Auditor,Choctaw,Lajena Walley,Reform,33,,,,,,,,,,,,,
State Auditor,Claiborne,Stacey E. Pickering,Republican,914,,,,,,,,,,,,,
State Auditor,Claiborne,Jocelyn 'Joce' Pepper Pritchett,Democrat,2420,,,,,,,,,,,,,
State Auditor,Claiborne,Lajena Walley,Reform,73,,,,,,,,,,,,,
Governor,Clarke,Phil Bryant,Republican,4253,,,,,,,,,,,,,
Governor,Clarke,Robert Gray,Democrat,1595,,,,,,,,,,,,,
Governor,Clarke,Shawn O'Hara,Reform,82,,,,,,,,,,,,,
Governor,Clay,Phil Bryant,Republican,3601,,,,,,,,,,,,,
Governor,Clay,Robert Gray,Democrat,3547,,,,,,,,,,,,,
Governor,Clay,Shawn O'Hara,Reform,76,,,,,,,,,,,,,
Governor,Coahoma,Phil Bryant,Republican,1867,,,,,,,,,,,,,
Governor,Coahoma,Robert Gray,Democrat,2095,,,,,,,,,,,,,
Governor,Coahoma,Shawn O'Hara,Reform,46,,,,,,,,,,,,,
Governor,Copiah,Phil Bryant,Republican,4088,,,,,,,,,,,,,
Governor,Copiah,Robert Gray,Democrat,3162,,,,,,,,,,,,,
Governor,Copiah,Shawn O'Hara,Reform,94,,,,,,,,,,,,,
Governor,Covington,Phil Bryant,Republican,4471,,,,,,,,,,,,,
Governor,Covington,Robert Gray,Democrat,1838,,,,,,,,,,,,,
Governor,Covington,Shawn O'Hara,Reform,76,,,,,,,,,,,,,
Governor,DeSoto,Phil Bryant,Republican,16837,,,,,,,,,,,,,
Governor,DeSoto,Robert Gray,Democrat,3904,,,,,,,,,,,,,
Governor,DeSoto,Shawn O'Hara,Reform,339,,,,,,,,,,,,,
Governor,Forrest,Phil Bryant,Republican,11998,,,,,,,,,,,,,
Governor,Forrest,Robert Gray,Democrat,4968,,,,,,,,,,,,,
Governor,Forrest,Shawn O'Hara,Reform,270,,,,,,,,,,,,,
Governor,Franklin,Phil Bryant,Republican,2053,,,,,,,,,,,,,
Governor,Franklin,Robert Gray,Democrat,996,,,,,,,,,,,,,
Governor,Franklin,Shawn O'Hara,Reform,40,,,,,,,,,,,,,
Governor,George,Phil Bryant,Republican,5348,,,,,,,,,,,,,
Governor,George,Robert Gray,Democrat,634,,,,,,,,,,,,,
Governor,George,Shawn O'Hara,Reform,129,,,,,,,,,,,,,
Governor,Greene,Phil Bryant,Republican,3097,,,,,,,,,,,,,
Governor,Greene,Robert Gray,Democrat,697,,,,,,,,,,,,,
Governor,Greene,Shawn O'Hara,Reform,88,,,,,,,,,,,,,
Governor,Grenada,Phil Bryant,Republican,4462,,,,,,,,,,,,,
Governor,Grenada,Robert Gray,Democrat,2324,,,,,,,,,,,,,
Governor,Grenada,Shawn O'Hara,Reform,67,,,,,,,,,,,,,
Lieutenant Governor,Clarke,Tim Johnson,Democrat,1753,,,,,,,,,,,,,
Lieutenant Governor,Clarke,Tate Reeves,Republican,3942,,,,,,,,,,,,,
Lieutenant Governor,Clarke,Ron Williams,Libertarian,110,,,,,,,,,,,,,
Lieutenant Governor,Clarke,Rosa B. Williams,Reform,56,,,,,,,,,,,,,
Lieutenant Governor,Clay,Tim Johnson,,3919,,,,,,,,,,,,,
Lieutenant Governor,Clay,Tate Reeves,,3045,,,,,,,,,,,,,
Lieutenant Governor,Clay,Ron Williams,,90,,,,,,,,,,,,,
Lieutenant Governor,Clay,Rosa B. Williams,,96,,,,,,,,,,,,,
Lieutenant Governor,Coahoma,Tim Johnson,,2283,,,,,,,,,,,,,
Lieutenant Governor,Coahoma,Tate Reeves,,1461,,,,,,,,,,,,,
Lieutenant Governor,Coahoma,Ron Williams,,72,,,,,,,,,,,,,
Lieutenant Governor,Coahoma,Rosa B. Williams,,111,,,,,,,,,,,,,
Lieutenant Governor,Copiah,Tim Johnson,,3295,,,,,,,,,,,,,
Lieutenant Governor,Copiah,Tate Reeves,,3719,,,,,,,,,,,,,
Lieutenant Governor,Copiah,Ron Williams,,139,,,,,,,,,,,,,
Lieutenant Governor,Copiah,Rosa B. Williams,,112,,,,,,,,,,,,,
Lieutenant Governor,Covington,Tim Johnson,,1887,,,,,,,,,,,,,
Lieutenant Governor,Covington,Tate Reeves,,4203,,,,,,,,,,,,,
Lieutenant Governor,Covington,Ron Williams,,135,,,,,,,,,,,,,
Lieutenant Governor,Covington,Rosa B. Williams,,80,,,,,,,,,,,,,
Lieutenant Governor,DeSoto,Tim Johnson,,4453,,,,,,,,,,,,,
Lieutenant Governor,DeSoto,Tate Reeves,,15612,,,,,,,,,,,,,
Lieutenant Governor,DeSoto,Ron Williams,,632,,,,,,,,,,,,,
Lieutenant Governor,DeSoto,Rosa B. Williams,,201,,,,,,,,,,,,,
Lieutenant Governor,Forrest,Tim Johnson,,5234,,,,,,,,,,,,,
Lieutenant Governor,Forrest,Tate Reeves,,11025,,,,,,,,,,,,,
Lieutenant Governor,Forrest,Ron Williams,,600,,,,,,,,,,,,,
Lieutenant Governor,Forrest,Rosa B. Williams,,205,,,,,,,,,,,,,
Lieutenant Governor,Franklin,Tim Johnson,,1067,,,,,,,,,,,,,
Lieutenant Governor,Franklin,Tate Reeves,,1881,,,,,,,,,,,,,
Lieutenant Governor,Franklin,Ron Williams,,58,,,,,,,,,,,,,
Lieutenant Governor,Franklin,Rosa B. Williams,,36,,,,,,,,,,,,,
Lieutenant Governor,George,Tim Johnson,,844,,,,,,,,,,,,,
Lieutenant Governor,George,Tate Reeves,,4825,,,,,,,,,,,,,
Lieutenant Governor,George,Ron Williams,,260,,,,,,,,,,,,,
Lieutenant Governor,George,Rosa B. Williams,,77,,,,,,,,,,,,,
Lieutenant Governor,Greene,Tim Johnson,,875,,,,,,,,,,,,,
Lieutenant Governor,Greene,Tate Reeves,,2691,,,,,,,,,,,,,
Lieutenant Governor,Greene,Ron Williams,,194,,,,,,,,,,,,,
Lieutenant Governor,Greene,Rosa B. Williams,,57,,,,,,,,,,,,,
Lieutenant Governor,Grenada,Tim Johnson,,2567,,,,,,,,,,,,,
Lieutenant Governor,Grenada,Tate Reeves,,4008,,,,,,,,,,,,,
Lieutenant Governor,Grenada,Ron Williams,,167,,,,,,,,,,,,,
Lieutenant Governor,Grenada,Rosa B. Williams,,52,,,,,,,,,,,,,
Secretary of State,Clarke,Charles E. Graham,Democrat,1889,,,,,,,,,,,,,
Secretary of State,Clarke,Delbert Hosemann,Republican,3788,,,,,,,,,,,,,
Secretary of State,Clarke,Randy Walker,Reform,186,,,,,,,,,,,,,
Secretary of State,Clay,Charles E. Graham,Democrat,3790,,,,,,,,,,,,,
Secretary of State,Clay,Delbert Hosemann,Republican,3126,,,,,,,,,,,,,
Secretary of State,Clay,Randy Walker,Reform,255,,,,,,,,,,,,,
Secretary of State,Coahoma,Charles E. Graham,Democrat,2385,,,,,,,,,,,,,
Secretary of State,Coahoma,Delbert Hosemann,Republican,1411,,,,,,,,,,,,,
Secretary of State,Coahoma,Randy Walker,Reform,95,,,,,,,,,,,,,
Secretary of State,Copiah,Charles E. Graham,Democrat,3346,,,,,,,,,,,,,
Secretary of State,Copiah,Delbert Hosemann,Republican,3804,,,,,,,,,,,,,
Secretary of State,Copiah,Randy Walker,Reform,159,,,,,,,,,,,,,
Secretary of State,Covington,Charles E. Graham,Democrat,2025,,,,,,,,,,,,,
Secretary of State,Covington,Delbert Hosemann,Republican,4133,,,,,,,,,,,,,
Secretary of State,Covington,Randy Walker,Reform,180,,,,,,,,,,,,,
Secretary of State,DeSoto,Charles E. Graham,Democrat,4513,,,,,,,,,,,,,
Secretary of State,DeSoto,Delbert Hosemann,Republican,15758,,,,,,,,,,,,,
Secretary of State,DeSoto,Randy Walker,Reform,569,,,,,,,,,,,,,
Secretary of State,Forrest,Charles E. Graham,Democrat,4988,,,,,,,,,,,,,
Secretary of State,Forrest,Delbert Hosemann,Republican,11782,,,,,,,,,,,,,
Secretary of State,Forrest,Randy Walker,Reform,400,,,,,,,,,,,,,
Secretary of State,Franklin,Charles E. Graham,Democrat,1115,,,,,,,,,,,,,
Secretary of State,Franklin,Delbert Hosemann,Republican,1769,,,,,,,,,,,,,
Secretary of State,Franklin,Randy Walker,Reform,152,,,,,,,,,,,,,
Secretary of State,George,Charles E. Graham,Democrat,1051,,,,,,,,,,,,,
Secretary of State,George,Delbert Hosemann,Republican,4546,,,,,,,,,,,,,
Secretary of State,George,Randy Walker,Reform,386,,,,,,,,,,,,,
Secretary of State,Greene,Charles E. Graham,Democrat,981,,,,,,,,,,,,,
Secretary of State,Greene,Delbert Hosemann,Republican,2620,,,,,,,,,,,,,
Secretary of State,Greene,Randy Walker,Reform,179,,,,,,,,,,,,,
Secretary of State,Grenada,Charles E. Graham,Democrat,2730,,,,,,,,,,,,,
Secretary of State,Grenada,Delbert Hosemann,Republican,3772,,,,,,,,,,,,,
Secretary of State,Grenada,Randy Walker,Reform,212,,,,,,,,,,,,,
Attorney General,Clarke,Jim Hood,Democrat,3150,,,,,,,,,,,,,
Attorney General,Clarke,Mike Hurst,Republican,2729,,,,,,,,,,,,,
Attorney General,Clay,Jim Hood,Democrat,5180,,,,,,,,,,,,,
Attorney General,Clay,Mike Hurst,Republican,2031,,,,,,,,,,,,,
Attorney General,Coahoma,Jim Hood,Democrat,2977,,,,,,,,,,,,,
Attorney General,Coahoma,Mike Hurst,Republican,957,,,,,,,,,,,,,
Attorney General,Copiah,Jim Hood,Democrat,4960,,,,,,,,,,,,,
Attorney General,Copiah,Mike Hurst,Republican,2385,,,,,,,,,,,,,
Attorney General,Covington,Jim Hood,Democrat,3527,,,,,,,,,,,,,
Attorney General,Covington,Mike Hurst,Republican,2815,,,,,,,,,,,,,
Attorney General,DeSoto,Jim Hood,Democrat,6656,,,,,,,,,,,,,
Attorney General,DeSoto,Mike Hurst,Republican,14344,,,,,,,,,,,,,
Attorney General,Forrest,Jim Hood,Democrat,8871,,,,,,,,,,,,,
Attorney General,Forrest,Mike Hurst,Republican,8323,,,,,,,,,,,,,
Attorney General,Franklin,Jim Hood,Democrat,1846,,,,,,,,,,,,,
Attorney General,Franklin,Mike Hurst,Republican,1208,,,,,,,,,,,,,
Attorney General,George,Jim Hood,Democrat,2155,,,,,,,,,,,,,
Attorney General,George,Mike Hurst,Republican,3860,,,,,,,,,,,,,
Attorney General,Greene,Jim Hood,Democrat,1701,,,,,,,,,,,,,
Attorney General,Greene,Mike Hurst,Republican,2119,,,,,,,,,,,,,
Attorney General,Grenada,Jim Hood,Democrat,4150,,,,,,,,,,,,,
Attorney General,Grenada,Mike Hurst,Republican,2644,,,,,,,,,,,,,
State Auditor,Clarke,Stacey E. Pickering,Republican,4009,,,,,,,,,,,,,
State Auditor,Clarke,Jocelyn 'Joce' Pepper Pritchett,Democrat,1773,,,,,,,,,,,,,
State Auditor,Clarke,Lajena Walley,Reform,82,,,,,,,,,,,,,
State Auditor,Clay,Stacey E. Pickering,Republican,3376,,,,,,,,,,,,,
State Auditor,Clay,Jocelyn 'Joce' Pepper Pritchett,Democrat,3680,,,,,,,,,,,,,
State Auditor,Clay,Lajena Walley,Reform,85,,,,,,,,,,,,,
State Auditor,Coahoma,Stacey E. Pickering,Republican,1572,,,,,,,,,,,,,
State Auditor,Coahoma,Jocelyn 'Joce' Pepper Pritchett,Democrat,2254,,,,,,,,,,,,,
State Auditor,Coahoma,Lajena Walley,Reform,51,,,,,,,,,,,,,
State Auditor,Copiah,Stacey E. Pickering,Republican,4043,,,,,,,,,,,,,
State Auditor,Copiah,Jocelyn 'Joce' Pepper Pritchett,Democrat,3145,,,,,,,,,,,,,
State Auditor,Copiah,Lajena Walley,Reform,69,,,,,,,,,,,,,
State Auditor,Covington,Stacey E. Pickering,Republican,4353,,,,,,,,,,,,,
State Auditor,Covington,Jocelyn 'Joce' Pepper Pritchett,Democrat,1897,,,,,,,,,,,,,
State Auditor,Covington,Lajena Walley,Reform,80,,,,,,,,,,,,,
State Auditor,DeSoto,Stacey E. Pickering,Republican,16232,,,,,,,,,,,,,
State Auditor,DeSoto,Jocelyn 'Joce' Pepper Pritchett,Democrat,4222,,,,,,,,,,,,,
State Auditor,DeSoto,Lajena Walley,Reform,311,,,,,,,,,,,,,
State Auditor,Forrest,Stacey E. Pickering,Republican,11607,,,,,,,,,,,,,
State Auditor,Forrest,Jocelyn 'Joce' Pepper Pritchett,Democrat,5208,,,,,,,,,,,,,
State Auditor,Forrest,Lajena Walley,Reform,246,,,,,,,,,,,,,
State Auditor,Franklin,Stacey E. Pickering,Republican,1990,,,,,,,,,,,,,
State Auditor,Franklin,Jocelyn 'Joce' Pepper Pritchett,Democrat,1023,,,,,,,,,,,,,
State Auditor,Franklin,Lajena Walley,Reform,22,,,,,,,,,,,,,
State Auditor,George,Stacey E. Pickering,Republican,5051,,,,,,,,,,,,,
State Auditor,George,Jocelyn 'Joce' Pepper Pritchett,Democrat,777,,,,,,,,,,,,,
State Auditor,George,Lajena Walley,Reform,151,,,,,,,,,,,,,
State Auditor,Greene,Stacey E. Pickering,Republican,2927,,,,,,,,,,,,,
State Auditor,Greene,Jocelyn 'Joce' Pepper Pritchett,Democrat,729,,,,,,,,,,,,,
State Auditor,Greene,Lajena Walley,Reform,142,,,,,,,,,,,,,
State Auditor,Grenada,Stacey E. Pickering,Republican,4099,,,,,,,,,,,,,
State Auditor,Grenada,Jocelyn 'Joce' Pepper Pritchett,Democrat,2534,,,,,,,,,,,,,
State Auditor,Grenada,Lajena Walley,Reform,83,,,,,,,,,,,,,
Governor,Hancock,Phil Bryant,Republican,6675,,,,,,,,,,,,,
Governor,Hancock,Robert Gray,Democrat,1634,,,,,,,,,,,,,
Governor,Hancock,Shawn O'Hara,Reform,179,,,,,,,,,,,,,
Governor,Harrison,Phil Bryant,Republican,21548,,,,,,,,,,,,,
Governor,Harrison,Robert Gray,Democrat,8708,,,,,,,,,,,,,
