candidate,office,district,party,county,precinct,votes,winner
Michael Ted Evans,US House Representatives,3,DEM,,Forrest,,
Jeramey Anderson ,US House Representatives,4,DEM,,Forrest,1760,
David Baria,US Senate,,DEM,,Franklin,65,
Jensen Bohren,US Senate,,DEM,,Franklin,18,
Jerone Garland,US Senate,,DEM,,Franklin,16,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Franklin,20,
Omeria Scott,US Senate,,DEM,,Franklin,97,
Howard Sherman,US Senate,,DEM,,Franklin,70,
Randy Mack Wadkins,US House Representatives,1,DEM,,Franklin,,
Bennie Thompson,US House Representatives,2,DEM,,Franklin,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Franklin,93,
Michael Ted Evans,US House Representatives,3,DEM,,Franklin,163,
Jeramey Anderson ,US House Representatives,4,DEM,,Franklin,,
David Baria,US Senate,,DEM,,George,83,
Jensen Bohren,US Senate,,DEM,,George,7,
Jerone Garland,US Senate,,DEM,,George,14,
"Victor G. Maurice, Jr.",US Senate,,DEM,,George,9,
Omeria Scott,US Senate,,DEM,,George,27,
Howard Sherman,US Senate,,DEM,,George,39,
Randy Mack Wadkins,US House Representatives,1,DEM,,George,,
Bennie Thompson,US House Representatives,2,DEM,,George,,
Kevin Michael Aycox,US House Representatives,3,DEM,,George,,
Michael Ted Evans,US House Representatives,3,DEM,,George,,
Jeramey Anderson ,US House Representatives,4,DEM,,George,173,
David Baria,US Senate,,DEM,,Greene,33,
Jensen Bohren,US Senate,,DEM,,Greene,5,
Jerone Garland,US Senate,,DEM,,Greene,3,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Greene,13,
Omeria Scott,US Senate,,DEM,,Greene,48,
Howard Sherman,US Senate,,DEM,,Greene,19,
Randy Mack Wadkins,US House Representatives,1,DEM,,Greene,,
Bennie Thompson,US House Representatives,2,DEM,,Greene,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Greene,,
Michael Ted Evans,US House Representatives,3,DEM,,Greene,,
Jeramey Anderson ,US House Representatives,4,DEM,,Greene,102,
David Baria,US Senate,,DEM,,Grenada ,328,
Jensen Bohren,US Senate,,DEM,,Grenada ,29,
Jerone Garland,US Senate,,DEM,,Grenada ,27,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Grenada ,39,
Omeria Scott,US Senate,,DEM,,Grenada ,143,
Howard Sherman,US Senate,,DEM,,Grenada ,212,
Randy Mack Wadkins,US House Representatives,1,DEM,,Grenada ,,
Bennie Thompson,US House Representatives,2,DEM,,Grenada ,836,
Kevin Michael Aycox,US House Representatives,3,DEM,,Grenada ,,
Michael Ted Evans,US House Representatives,3,DEM,,Grenada ,,
Jeramey Anderson ,US House Representatives,4,DEM,,Grenada ,,
David Baria,US Senate,,DEM,,Hancock,1115,
Jensen Bohren,US Senate,,DEM,,Hancock,23,
Jerone Garland,US Senate,,DEM,,Hancock,13,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Hancock,22,
Omeria Scott,US Senate,,DEM,,Hancock,29,
Howard Sherman,US Senate,,DEM,,Hancock,51,
Randy Mack Wadkins,US House Representatives,1,DEM,,Hancock,,
Bennie Thompson,US House Representatives,2,DEM,,Hancock,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Hancock,,
Michael Ted Evans,US House Representatives,3,DEM,,Hancock,,
Jeramey Anderson ,US House Representatives,4,DEM,,Hancock,1038,
David Baria,US Senate,,DEM,,Harrison,2405,
Jensen Bohren,US Senate,,DEM,,Harrison,137,
Jerone Garland,US Senate,,DEM,,Harrison,139,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Harrison,262,
Omeria Scott,US Senate,,DEM,,Harrison,465,
Howard Sherman,US Senate,,DEM,,Harrison,1057,
Randy Mack Wadkins,US House Representatives,1,DEM,,Harrison,,
Bennie Thompson,US House Representatives,2,DEM,,Harrison,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Harrison,,
Michael Ted Evans,US House Representatives,3,DEM,,Harrison,,
Jeramey Anderson ,US House Representatives,4,DEM,,Harrison,3944,
David Baria,US Senate,,DEM,,Hinds,5644,
Jensen Bohren,US Senate,,DEM,,Hinds,238,
Jerone Garland,US Senate,,DEM,,Hinds,470,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Hinds,772,
Omeria Scott,US Senate,,DEM,,Hinds,2826,
Howard Sherman,US Senate,,DEM,,Hinds,4909,
Randy Mack Wadkins,US House Representatives,1,DEM,,Hinds,,
Bennie Thompson,US House Representatives,2,DEM,,Hinds,12752,
Kevin Michael Aycox,US House Representatives,3,DEM,,Hinds,862,
Michael Ted Evans,US House Representatives,3,DEM,,Hinds,922,
Jeramey Anderson ,US House Representatives,4,DEM,,Hinds,,
David Baria,US Senate,,DEM,,Holmes,292,
Jensen Bohren,US Senate,,DEM,,Holmes,36,
Jerone Garland,US Senate,,DEM,,Holmes,150,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Holmes,41,
Omeria Scott,US Senate,,DEM,,Holmes,316,
Howard Sherman,US Senate,,DEM,,Holmes,368,
Randy Mack Wadkins,US House Representatives,1,DEM,,Holmes,,
Bennie Thompson,US House Representatives,2,DEM,,Holmes,1275,
Kevin Michael Aycox,US House Representatives,3,DEM,,Holmes,,
Michael Ted Evans,US House Representatives,3,DEM,,Holmes,,
Jeramey Anderson ,US House Representatives,4,DEM,,Holmes,,
David Baria,US Senate,,DEM,,Humphreys,156,
Jensen Bohren,US Senate,,DEM,,Humphreys,28,
Jerone Garland,US Senate,,DEM,,Humphreys,18,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Humphreys,29,
Omeria Scott,US Senate,,DEM,,Humphreys,59,
Howard Sherman,US Senate,,DEM,,Humphreys,169,
Randy Mack Wadkins,US House Representatives,1,DEM,,Humphreys,,
Bennie Thompson,US House Representatives,2,DEM,,Humphreys,502,
Kevin Michael Aycox,US House Representatives,3,DEM,,Humphreys,,
Michael Ted Evans,US House Representatives,3,DEM,,Humphreys,,
Jeramey Anderson ,US House Representatives,4,DEM,,Humphreys,,
David Baria,US Senate,,DEM,,Issaquena,25,
Jensen Bohren,US Senate,,DEM,,Issaquena,7,
Jerone Garland,US Senate,,DEM,,Issaquena,3,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Issaquena,5,
Omeria Scott,US Senate,,DEM,,Issaquena,14,
Howard Sherman,US Senate,,DEM,,Issaquena,27,
Randy Mack Wadkins,US House Representatives,1,DEM,,Issaquena,,
Bennie Thompson,US House Representatives,2,DEM,,Issaquena,85,
Kevin Michael Aycox,US House Representatives,3,DEM,,Issaquena,,
Michael Ted Evans,US House Representatives,3,DEM,,Issaquena,,
Jeramey Anderson ,US House Representatives,4,DEM,,Issaquena,,
David Baria,US Senate,,DEM,,Itawamba ,55,
Jensen Bohren,US Senate,,DEM,,Itawamba ,17,
Jerone Garland,US Senate,,DEM,,Itawamba ,14,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Itawamba ,8,
Omeria Scott,US Senate,,DEM,,Itawamba ,8,
Howard Sherman,US Senate,,DEM,,Itawamba ,96,
Randy Mack Wadkins,US House Representatives,1,DEM,,Itawamba ,138,
Bennie Thompson,US House Representatives,2,DEM,,Itawamba ,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Itawamba ,,
Michael Ted Evans,US House Representatives,3,DEM,,Itawamba ,,
Jeramey Anderson ,US House Representatives,4,DEM,,Itawamba ,,
David Baria,US Senate,,DEM,,Jackson,1551,
Jensen Bohren,US Senate,,DEM,,Jackson,107,
Jerone Garland,US Senate,,DEM,,Jackson,106,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Jackson,133,
Omeria Scott,US Senate,,DEM,,Jackson,441,
Howard Sherman,US Senate,,DEM,,Jackson,645,
Randy Mack Wadkins,US House Representatives,1,DEM,,Jackson,,
Bennie Thompson,US House Representatives,2,DEM,,Jackson,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Jackson,,
Michael Ted Evans,US House Representatives,3,DEM,,Jackson,,
Jeramey Anderson ,US House Representatives,4,DEM,,Jackson,2792,
David Baria,US Senate,,DEM,,Jasper,81,
Jensen Bohren,US Senate,,DEM,,Jasper,28,
Jerone Garland,US Senate,,DEM,,Jasper,13,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Jasper,15,
Omeria Scott,US Senate,,DEM,,Jasper,981,
Howard Sherman,US Senate,,DEM,,Jasper,118,
Randy Mack Wadkins,US House Representatives,1,DEM,,Jasper,,
Bennie Thompson,US House Representatives,2,DEM,,Jasper,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Jasper,232,
Michael Ted Evans,US House Representatives,3,DEM,,Jasper,862,
Jeramey Anderson ,US House Representatives,4,DEM,,Jasper,,
David Baria,US Senate,,DEM,,Jefferson ,136,
Jensen Bohren,US Senate,,DEM,,Jefferson ,24,
Jerone Garland,US Senate,,DEM,,Jefferson ,35,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Jefferson ,59,
Omeria Scott,US Senate,,DEM,,Jefferson ,157,
Howard Sherman,US Senate,,DEM,,Jefferson ,273,
Randy Mack Wadkins,US House Representatives,1,DEM,,Jefferson ,,
Bennie Thompson,US House Representatives,2,DEM,,Jefferson ,717,
Kevin Michael Aycox,US House Representatives,3,DEM,,Jefferson ,,
Michael Ted Evans,US House Representatives,3,DEM,,Jefferson ,,
Jeramey Anderson ,US House Representatives,4,DEM,,Jefferson ,,
David Baria,US Senate,,DEM,,Jeff Davis,159,
Jensen Bohren,US Senate,,DEM,,Jeff Davis,32,
Jerone Garland,US Senate,,DEM,,Jeff Davis,49,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Jeff Davis,54,
Omeria Scott,US Senate,,DEM,,Jeff Davis,276,
Howard Sherman,US Senate,,DEM,,Jeff Davis,319,
Randy Mack Wadkins,US House Representatives,1,DEM,,Jeff Davis,,
Bennie Thompson,US House Representatives,2,DEM,,Jeff Davis,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Jeff Davis,152,
Michael Ted Evans,US House Representatives,3,DEM,,Jeff Davis,709,
Jeramey Anderson ,US House Representatives,4,DEM,,Jeff Davis,,
David Baria,US Senate,,DEM,,Jones,112,
Jensen Bohren,US Senate,,DEM,,Jones,23,
Jerone Garland,US Senate,,DEM,,Jones,21,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Jones,9,
Omeria Scott,US Senate,,DEM,,Jones,1664,
Howard Sherman,US Senate,,DEM,,Jones,198,
Randy Mack Wadkins,US House Representatives,1,DEM,,Jones,,
Bennie Thompson,US House Representatives,2,DEM,,Jones,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Jones,,
Michael Ted Evans,US House Representatives,3,DEM,,Jones,,
Jeramey Anderson ,US House Representatives,4,DEM,,Jones,1509,
David Baria,US Senate,,DEM,,Kemper,211,
Jensen Bohren,US Senate,,DEM,,Kemper,37,
Jerone Garland,US Senate,,DEM,,Kemper,53,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Kemper,36,
Omeria Scott,US Senate,,DEM,,Kemper,143,
Howard Sherman,US Senate,,DEM,,Kemper,319,
Randy Mack Wadkins,US House Representatives,1,DEM,,Kemper,,
Bennie Thompson,US House Representatives,2,DEM,,Kemper,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Kemper,50,
Michael Ted Evans,US House Representatives,3,DEM,,Kemper,864,
Jeramey Anderson ,US House Representatives,4,DEM,,Kemper,,
David Baria,US Senate,,DEM,,Lafayette,1008,
Jensen Bohren,US Senate,,DEM,,Lafayette,58,
Jerone Garland,US Senate,,DEM,,Lafayette,56,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Lafayette,33,
Omeria Scott,US Senate,,DEM,,Lafayette,142,
Howard Sherman,US Senate,,DEM,,Lafayette,308,
Randy Mack Wadkins,US House Representatives,1,DEM,,Lafayette,1429,
Bennie Thompson,US House Representatives,2,DEM,,Lafayette,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Lafayette,,
Michael Ted Evans,US House Representatives,3,DEM,,Lafayette,,
Jeramey Anderson ,US House Representatives,4,DEM,,Lafayette,,
David Baria,US Senate,,DEM,,Lamar,256,
Jensen Bohren,US Senate,,DEM,,Lamar,28,
Jerone Garland,US Senate,,DEM,,Lamar,62,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Lamar,38,
Omeria Scott,US Senate,,DEM,,Lamar,264,
Howard Sherman,US Senate,,DEM,,Lamar,238,
Randy Mack Wadkins,US House Representatives,1,DEM,,Lamar,,
Bennie Thompson,US House Representatives,2,DEM,,Lamar,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Lamar,,
Michael Ted Evans,US House Representatives,3,DEM,,Lamar,,
Jeramey Anderson ,US House Representatives,4,DEM,,Lamar,808,
David Baria,US Senate,,DEM,,Lauderdale,286,
Jensen Bohren,US Senate,,DEM,,Lauderdale,37,
Jerone Garland,US Senate,,DEM,,Lauderdale,69,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Lauderdale,64,
Omeria Scott,US Senate,,DEM,,Lauderdale,546,
Howard Sherman,US Senate,,DEM,,Lauderdale,1488,
Randy Mack Wadkins,US House Representatives,1,DEM,,Lauderdale,,
Bennie Thompson,US House Representatives,2,DEM,,Lauderdale,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Lauderdale,703,
Michael Ted Evans,US House Representatives,3,DEM,,Lauderdale,1682,
Jeramey Anderson ,US House Representatives,4,DEM,,Lauderdale,,
David Baria,US Senate,,DEM,,Lawrence,99,
Jensen Bohren,US Senate,,DEM,,Lawrence,32,
Jerone Garland,US Senate,,DEM,,Lawrence,33,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Lawrence,46,
Omeria Scott,US Senate,,DEM,,Lawrence,83,
Howard Sherman,US Senate,,DEM,,Lawrence,261,
Randy Mack Wadkins,US House Representatives,1,DEM,,Lawrence,,
Bennie Thompson,US House Representatives,2,DEM,,Lawrence,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Lawrence,95,
Michael Ted Evans,US House Representatives,3,DEM,,Lawrence,450,
Jeramey Anderson ,US House Representatives,4,DEM,,Lawrence,,
David Baria,US Senate,,DEM,,Leake ,121,
Jensen Bohren,US Senate,,DEM,,Leake ,20,
Jerone Garland,US Senate,,DEM,,Leake ,60,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Leake ,44,
Omeria Scott,US Senate,,DEM,,Leake ,218,
Howard Sherman,US Senate,,DEM,,Leake ,250,
Randy Mack Wadkins,US House Representatives,1,DEM,,Leake ,,
Bennie Thompson,US House Representatives,2,DEM,,Leake ,746,
Kevin Michael Aycox,US House Representatives,3,DEM,,Leake ,,
Michael Ted Evans,US House Representatives,3,DEM,,Leake ,,
Jeramey Anderson ,US House Representatives,4,DEM,,Leake ,,
David Baria,US Senate,,DEM,,Lee,690,
Jensen Bohren,US Senate,,DEM,,Lee,52,
Jerone Garland,US Senate,,DEM,,Lee,54,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Lee,63,
Omeria Scott,US Senate,,DEM,,Lee,132,
Howard Sherman,US Senate,,DEM,,Lee,577,
Randy Mack Wadkins,US House Representatives,1,DEM,,Lee,1396,
Bennie Thompson,US House Representatives,2,DEM,,Lee,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Lee,,
Michael Ted Evans,US House Representatives,3,DEM,,Lee,,
Jeramey Anderson ,US House Representatives,4,DEM,,Lee,,
David Baria,US Senate,,DEM,,Leflore,123,
Jensen Bohren,US Senate,,DEM,,Leflore,13,
Jerone Garland,US Senate,,DEM,,Leflore,32,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Leflore,29,
Omeria Scott,US Senate,,DEM,,Leflore,224,
Howard Sherman,US Senate,,DEM,,Leflore,178,
Randy Mack Wadkins,US House Representatives,1,DEM,,Leflore,,
Bennie Thompson,US House Representatives,2,DEM,,Leflore,600,
Kevin Michael Aycox,US House Representatives,3,DEM,,Leflore,,
Michael Ted Evans,US House Representatives,3,DEM,,Leflore,,
Jeramey Anderson ,US House Representatives,4,DEM,,Leflore,,
